Gene	Probe	lm_ethnicity_pvalue.adj_batch_year	lm_ethnicity_fdr.adj_batch_year	lm_ethnicity_pvalue.adj_PCA	lm_ethnicity_fdr.adj_PCA	lm_PC1_pvalue	lm_PC1_fdr	lm_PC2_pvalue	lm_PC2_fdr
MEIS2	207480_s_at	0.00200536026477243	0.0363569748621525	3.76434006568822e-08	2.06874013734978e-05	0.0305966583649632	0.0514115071666581	0.912221283417844	0.923352336260285
PTPRO	208121_s_at	0.0370599734813333	0.217245564547576	4.41390667607585e-05	0.00341440025979191	5.4337823255782e-05	0.00016967062496026	0.425963523745784	0.464217311150791
STXBP2	209367_at	0.415128248964868	0.717136089027128	0.0652790800465475	0.258933513995397	0.0720641340479474	0.109629745793011	0.0406557840269544	0.0513482201880222
HDGFRP3	209526_s_at	0.000559497833923122	0.0173839733345795	5.298330375697e-11	9.31764379870074e-08	0.00164947712454083	0.00372753851351518	0.276449072145102	0.311883075618666
IGF1	209541_at	0.000120544652195071	0.00627056153188091	5.0464356596463e-05	0.0037309789131592	0.0076846575335364	0.0148933642698668	0.00127553515077663	0.00188089561978516
CLEC2B	209732_at	1.15670236280433e-05	0.00169195697987851	1.81635731745725e-08	1.06474865949344e-05	0.00794376045536639	0.0153414200931335	0.0253047817502039	0.0326780651974656
RGS20	210138_at	4.59686088962122e-08	5.05252472530492e-05	1.27734327650362e-11	3.74389314343211e-08	0.0025661269179775	0.00553309318042573	0.00215399406518709	0.00310594782144803
PDE4B	211302_s_at	0.108311186464379	0.384713293011108	0.524574146592033	0.76354584853232	1.08681156202338e-23	8.84845746747372e-22	0.491433883513245	0.529750905692284
ROBO1	213194_at	1.88118952009936e-06	0.00058197291883895	0.000134933654828299	0.0063992917274465	0.485584218194882	0.561098188053697	0.306628960299573	0.343244869244322
ATP8B1	214594_x_at	0.0494672777205265	0.252622958557741	0.765672129670921	0.89408469751298	1.0685342858603e-27	1.95742124491033e-25	0.353351407929343	0.390967526100757
COPG1	217749_at	0.191338662606978	0.511230309338022	0.0389027273054311	0.195534363993544	6.64314410161502e-06	2.457432313231e-05	8.33503120580143e-05	0.000138152553049221
ARPC4	217817_at	0.000568043497993736	0.0175873467530244	0.00045375397169278	0.0144560096851254	0.00891126949589831	0.0169860812220754	0.381427593397836	0.419236603593396
LPAR6	218589_at	0.045269500322052	0.241461622934855	0.0171381187469008	0.121724941955976	0.0148493524964153	0.0269550694675847	0.0810087846335358	0.0985351007445954
EXOC5	218748_s_at	0.429667509442201	0.726551232793323	0.0737783733263328	0.276056696450402	6.40229242912895e-24	5.46556867275057e-22	0.593239504119658	0.627720211759826
RRP1	218758_s_at	0.486319324962739	0.765198635472119	0.886399219515861	0.951545395825047	8.32198565509987e-22	4.74097209440154e-20	0.0567264132162913	0.0704115402895044
CLEC2D	220132_s_at	0.0284987119000858	0.186741393627827	0.122434795137504	0.360901493008406	3.01643585609386e-07	1.41912897178348e-06	0.00152443494363921	0.00223592267880226
TMPRSS3	220177_s_at	0.00236887991060762	0.0410839468520174	0.000161272932620462	0.00715738700477092	0.0691544260635596	0.105752151022066	0.171899108234222	0.200199848834903
LEF1	221558_s_at	0.192621102029288	0.511697084635508	0.147105007506013	0.399871299951988	0.00371520543553759	0.00776682998554699	0.0858898320147504	0.104140829137576
